"release_time","input_tokens","output_tokens"
0,374,44
4.31457901000977,396,109
4.54187703132629,879,55
4.71042704582214,91,16
5.89265513420105,91,16
6.3115291595459,381,84
7.74549698829651,1313,142
8.25143098831177,388,84
8.33707904815674,242,14
8.46498513221741,209,152
8.70021319389343,394,124
9.42746806144714,394,59
9.58255815505981,1315,174
10.106379032135,2221,15
10.546126127243,389,90
11.1579110622406,415,106
11.4309041500092,120,12
11.8366329669952,369,74
12.8865451812744,206,162
13.0250880718231,1353,142
13.0498430728912,197,152
14.0595500469208,181,154
14.0977799892426,388,54
14.2933089733124,4085,62
17.4209179878235,2584,170
17.7929379940033,203,147
18.1605131626129,126,194
18.4638919830322,389,87
18.9794390201569,2548,116
19.9139270782471,91,16
19.9451971054077,4081,74
20.4789412021637,181,123
20.6583530902863,191,217
20.9419159889221,27,183
21.3700649738312,203,217
21.3750870227814,398,81
22.7128720283508,126,172
22.9948561191559,209,181
23.3714029788971,209,181
24.1462960243225,28,175
24.7683851718903,437,88
24.8949611186981,181,104
25.0814220905304,203,138
25.2233791351318,200,177
25.2498400211334,4073,58
25.3242540359497,91,16
25.9171071052551,1087,401
26.2544779777527,382,64
26.4070570468903,412,102
26.4611439704895,194,217
27.3302659988403,203,217
27.5525290966034,200,217
28.090234041214,64,174
28.3533570766449,458,123
28.5785350799561,1352,158
28.6077721118927,874,404
28.7643790245056,378,58
29.3402881622314,91,16
29.6860780715942,4074,50
30.181499004364,389,89
31.269170999527,212,183
31.6204900741577,1085,394
31.7602291107178,407,131
31.9170031547546,396,82
32.3885049819946,1029,399
33.2358820438385,962,399
33.4135282039642,203,217
33.4910011291504,898,94
33.5267701148987,181,253
33.6457130908966,320,18
33.7487020492554,1119,414
33.8250000476837,124,157
33.9325289726257,1313,179
34.7464461326599,1096,383
35.2940690517426,400,102
36.138512134552,1057,424
36.5204169750214,203,162
36.8647391796112,1314,216
37.1248061656952,2,93
37.4759650230408,1065,409
38.1549301147461,372,60
38.3926420211792,4094,82
38.5490441322327,1104,394
38.8133320808411,1075,415
39.0919151306152,4088,37
39.220584154129,1225,372
39.3241271972656,1118,426
39.6377639770508,380,102
39.645191192627,1133,385
40.041867017746,42,167
40.350634098053,2590,50
40.4791641235352,1140,377
41.1258730888367,126,203
41.3573911190033,431,84
42.334055185318,1115,421
42.5296931266785,206,179
42.5306251049042,400,91
42.5452630519867,1123,396
42.5638201236725,862,379
42.6852231025696,859,422
42.6912381649017,890,402
42.7153000831604,1192,419
42.8085730075836,899,403
42.9997470378876,163,224
43.1934611797333,181,212
43.5890550613403,416,88
43.6099100112915,1163,426
43.7911241054535,243,14
43.8934261798859,1041,428
43.9230711460114,1350,146
44.0407409667969,1104,396
44.0613210201263,1127,426
44.8280789852142,1114,414
45.0097570419312,1083,396
45.0255131721497,1313,173
45.1049461364746,888,395
45.1203670501709,13,130
45.174957036972,874,89
45.2468521595001,1065,395
45.5027520656586,1157,426
45.5302422046661,1077,390
45.9808220863342,2903,59
46.1023211479187,4079,27
46.1904389858246,1149,411
46.2300751209259,996,389
46.4065589904785,990,394
46.6266891956329,197,183
46.6781439781189,4107,49
47.2097251415253,197,217
47.4599401950836,1378,407
47.7340621948242,1214,421
47.925302028656,1016,375
48.0329911708832,1186,398
48.045529127121,4076,60
48.1346080303192,1100,426
48.2963750362396,218,217
48.7096571922302,1232,419
48.9956071376801,975,416
49.2270381450653,209,217
49.561182975769,181,85
49.5874571800232,1029,388
49.6609120368958,888,418
49.7244801521301,1113,375
49.7426850795746,1035,520
49.7426910400391,1009,425
49.8324341773987,869,450
49.8784301280975,1183,431
50.2285239696503,972,395
50.4861361980438,1097,396
50.631087064743,206,183
50.6549820899963,181,208
50.6576571464539,1316,200
50.7417850494385,908,456
50.8942210674286,1094,422
50.9083330631256,996,422
